,name,overhang-topduplex,topoverhang-topduplexmdtraj,gapcore_dist1112mdtraj,helices_dist,helices_ang,overhang-helix_ang,rmsd,rmsd_overhang
0,md1_0,1.2652637958526611,2.3631866,0.5605923,0.5441220998764038,0.047072226973573855,0.30960742250218026,0.0,0.0
1,md1_1,1.2709760665893555,2.390338,0.5575035,0.5437184572219849,0.04681565367484551,0.3089019952266461,0.04013184,0.023157781
2,md1_2,1.2504478693008423,2.384102,0.5716649,0.5404773950576782,0.046390878573150746,0.3086668330396813,0.054046806,0.026167503
3,md1_3,1.2400834560394287,2.378982,0.5953805,0.537919282913208,0.04615894585647488,0.30896041565917726,0.06431136,0.032053474
4,md1_4,1.2369282245635986,2.364328,0.5811787,0.5367897152900696,0.04603736134512865,0.3091689168610441,0.07655522,0.03346063
5,md1_5,1.2363979816436768,2.3677013,0.6060003,0.5335177779197693,0.04581144977258197,0.30962757147619097,0.08737609,0.03706652
6,md1_6,1.2119879722595215,2.3586097,0.6185435,0.5292442440986633,0.04560011293695006,0.3095945108419461,0.096399926,0.038987152
7,md1_7,1.1969294548034668,2.336926,0.6056886,0.5241055488586426,0.04524042131651043,0.31018908047501376,0.10424171,0.04189176
8,md1_8,1.1782721281051636,2.3182712,0.56871444,0.5212846994400024,0.045084634208460636,0.31008596014397155,0.11207976,0.038591728
9,md1_9,1.2065380811691284,2.3598258,0.5726065,0.521072506904602,0.04518635274489549,0.31052496802118434,0.11907593,0.034151774
10,md1_10,1.1800832748413086,2.335474,0.6131868,0.5175958275794983,0.045161274642717124,0.31125602990734313,0.12528117,0.031148108
